Date,Open,High,Low,Close,Volume
2023-01-03,4082.0,4139.0,4075.5,4123.5,321492
2023-01-04,4124.0,4165.5,4090.0,4116.0,405820
2023-01-05,4121.5,4127.0,4081.5,4087.0,176209
2023-01-06,4088.0,4118.0,4085.0,4089.0,239862
2023-01-09,4105.0,4123.0,4093.0,4110.0,356313
2023-01-10,4100.0,4104.0,4063.5,4079.0,287625
2023-01-11,4080.0,4099.0,4065.5,4090.5,264357
2023-01-12,4091.0,4094.0,4071.0,4078.5,175454
2023-01-13,4080.0,4090.0,4068.0,4074.0,222760
2023-01-16,4078.0,4096.5,4045.0,4052.0,463287
2023-01-17,4052.5,4060.5,4015.0,4025.0,326706
2023-01-18,4037.5,4049.0,4012.0,4021.0,270721
2023-01-19,4019.5,4020.0,3974.0,3981.0,414205
2023-01-20,3982.0,3995.0,3925.0,3944.0,384133
2023-01-23,3950.0,3979.5,3944.5,3972.5,340221
2023-01-24,3986.0,3990.0,3930.5,3942.5,296368
2023-01-25,3949.0,3960.0,3900.5,3923.5,542133
2023-01-26,3924.0,3935.0,3901.5,3911.0,326405
2023-01-27,3911.0,3920.0,3892.5,3917.0,473474
2023-01-30,3929.0,3954.0,3917.0,3947.5,321296
2023-01-31,3947.0,3972.5,3925.5,3955.0,377660
2023-02-01,3959.5,3989.0,3935.0,3955.5,354764
2023-02-02,3955.5,3960.0,3900.5,3918.5,567894
2023-02-03,3918.0,3920.0,3880.0,3907.5,551146
2023-02-06,3908.0,3946.5,3902.0,3941.0,412519
2023-02-07,3950.5,3977.0,3931.0,3968.0,390661
2023-02-08,3979.0,3998.5,3903.0,3930.5,533759
2023-02-09,3949.0,3960.0,3907.5,3914.0,295567
2023-02-10,3915.0,3969.5,3903.5,3921.5,315593
2023-02-13,3941.5,3948.0,3911.0,3928.5,285214
2023-02-14,3928.5,3937.0,3905.0,3914.5,287643
2023-02-15,3903.0,3906.0,3800.0,3829.0,701274
2023-02-16,3840.0,3873.5,3811.5,3830.0,342417
2023-02-17,3830.0,3860.0,3802.5,3840.0,250591
2023-02-20,3849.5,3927.5,3804.0,3905.0,451382
2023-02-21,3912.0,3950.0,3901.5,3914.5,373583
2023-02-22,3915.5,3925.0,3873.0,3909.5,195649
2023-02-24,3916.0,3925.0,3880.0,3901.0,123659
2023-02-27,3881.5,3920.0,3881.5,3903.0,317560
2023-02-28,3905.5,4021.0,3903.0,3990.0,1174897
2023-03-01,4012.0,4060.0,3978.0,4056.0,827958
2023-03-02,4056.5,4078.0,3966.0,4004.0,1013506
2023-03-03,4003.0,4048.0,4001.5,4030.5,467509
2023-03-06,4048.0,4129.0,4045.5,4111.5,767483
2023-03-07,4124.5,4138.0,4090.0,4125.0,446449
2023-03-09,4125.0,4136.0,4099.0,4105.0,369041
2023-03-10,4088.0,4111.0,4035.0,4085.0,411767
2023-03-13,4090.5,4120.0,4039.0,4066.0,458634
2023-03-14,4059.0,4095.0,4044.0,4063.0,364334
2023-03-15,4077.0,4079.0,4009.0,4022.0,540003
2023-03-16,4013.0,4092.0,4011.0,4084.0,628469
2023-03-17,4095.0,4140.0,4073.0,4111.5,921975
2023-03-20,4128.0,4247.5,4090.5,4228.5,961015
2023-03-21,4230.0,4287.5,4167.5,4216.5,886701
2023-03-22,4216.0,4254.0,4184.0,4192.5,419844
2023-03-23,4199.5,4215.0,4159.0,4177.5,373939
2023-03-24,4178.0,4221.0,4158.0,4206.5,242457
2023-03-27,4230.0,4343.5,4217.0,4322.0,586534
2023-03-28,4331.0,4350.5,4271.0,4320.0,490573
2023-03-29,4323.0,4360.0,4294.0,4342.0,421821
2023-03-30,4349.5,4388.5,4320.0,4382.5,440238
